run_id,technique,n_reviewers,reviewer_id,defect_id,fault_type,position,page_hint,description_raw,description_norm,source,timestamp
costed_pbr_split_soft_n10_018,PBR_DESIGNER+PBR_TESTER+PBR_USER,10,reviewer_1_pbr_tester,h:05d21725d1b346b8,M,3.4.1,p. 5,'Reject_Order': The MSC in 3.4.1 shows Order signal but no reject/error path is defined.,reject order the msc in 3 4 1 shows order signal but no reject error path is defined,reviewer,2026-06-14T19:51:33.679405
costed_pbr_split_soft_n10_018,PBR_DESIGNER+PBR_TESTER+PBR_USER,10,reviewer_1_pbr_tester,h:c5e1c559aab272f1,M,3.1.23,p. 6,'Order': Requirement 3.1.23 states orders must be rejected if no cars are available.,order requirement 3 1 23 states orders must be rejected if no cars are available,reviewer,2026-06-14T19:51:33.679405
costed_pbr_split_soft_n10_018,PBR_DESIGNER+PBR_TESTER+PBR_USER,10,reviewer_1_pbr_tester,h:2d048423e6a749b6,M,3.2.1,p. 15,'OrderOper': is missing how invalid orders are processed.,orderoper is missing how invalid orders are processed,reviewer,2026-06-14T19:51:33.679405
costed_pbr_split_soft_n10_018,PBR_DESIGNER+PBR_TESTER+PBR_USER,10,reviewer_1_pbr_tester,h:52e17fc132844932,M,3.2.2,p. 15,'Overview': is missing limits on the number of zones in the overview.,overview is missing limits on the number of zones in the overview,reviewer,2026-06-14T19:51:33.679405
costed_pbr_split_soft_n10_018,PBR_DESIGNER+PBR_TESTER+PBR_USER,10,reviewer_2_pbr_tester,h:ef4a5c35c7540d47,M,3.2.1,p. 2,"'Order': The order can be submitted in all states, except in 'Offline' (p. 2).",order the order can be submitted in all states except in offline p 2,reviewer,2026-06-14T19:51:49.115194
costed_pbr_split_soft_n10_018,PBR_DESIGNER+PBR_TESTER+PBR_USER,10,reviewer_2_pbr_tester,h:c6b701a91a4a6521,M,3.2.1,p. 2,'Reject_Order': No details on how rejected orders are handled (p. 2).,reject order no details on how rejected orders are handled p 2,reviewer,2026-06-14T19:51:49.115194
costed_pbr_split_soft_n10_018,PBR_DESIGNER+PBR_TESTER+PBR_USER,10,reviewer_2_pbr_tester,h:78e01df38ef64d84,M,3.4.1,p. 5,'Order': The order signal contains parameters but is missing boundary definitions (p. 5).,order the order signal contains parameters but is missing boundary definitions p 5,reviewer,2026-06-14T19:51:49.115194
costed_pbr_split_soft_n10_018,PBR_DESIGNER+PBR_TESTER+PBR_USER,10,reviewer_2_pbr_tester,h:b340a425ffecbb64,M,3.4.2,p. 6,'Order_Cancel': The cancellation process is missing detailed handling procedures (p. 6).,order cancel the cancellation process is missing detailed handling procedures p 6,reviewer,2026-06-14T19:51:49.115194
costed_pbr_split_soft_n10_018,PBR_DESIGNER+PBR_TESTER+PBR_USER,10,reviewer_2_pbr_tester,h:f07e8133104aa7de,M,Table 1,p. 7,'Order': Table 1 indicates missing parameters for the Order signal (p. 7).,order table 1 indicates missing parameters for the order signal p 7,reviewer,2026-06-14T19:51:49.115194
costed_pbr_split_soft_n10_018,PBR_DESIGNER+PBR_TESTER+PBR_USER,10,reviewer_3_pbr_tester,h:e1562ed2b7472f91,M,3.2.2,p. 3,'Reject_Order': The design is missing the post-state for rejected orders (p. 3).,reject order the design is missing the post state for rejected orders p 3,reviewer,2026-06-14T19:51:58.835105
