run_id,technique,n_reviewers,reviewer_id,defect_id,fault_type,position,page_hint,description_raw,description_norm,source,timestamp
costed_ubr_split_soft_n10_014,UBR,10,reviewer_1_ubr,h:477ab0e330bb81d0,M,3.4.1,p. 5,'Reject_Order': A signal is missing for not confirming orders.,reject order a signal is missing for not confirming orders,reviewer,2026-06-11T21:22:11.207882
costed_ubr_split_soft_n10_014,UBR,10,reviewer_1_ubr,h:8438f663ed62ca32,M,3.4.1,p. 5,'Order': The signal has wrong parameter types in Table 1.,order the signal has wrong parameter types in table 1,reviewer,2026-06-11T21:22:11.207882
costed_ubr_split_soft_n10_014,UBR,10,reviewer_1_ubr,h:b685ca835b4a802b,W,3.2.1,p. 2,'Order': The signal is incorrectly defined with missing parameters.,order the signal is incorrectly defined with missing parameters,reviewer,2026-06-11T21:22:11.207882
costed_ubr_split_soft_n10_014,UBR,10,reviewer_1_ubr,h:3a813a1b3d3415eb,M,3.4.2,p. 5,'Order_Cancel': A signal is missing for canceling orders.,order cancel a signal is missing for canceling orders,reviewer,2026-06-11T21:22:11.207882
costed_ubr_split_soft_n10_014,UBR,10,reviewer_1_ubr,h:d3f391aac379e135,W,3.1,p. 3,'LoginOk': The signal is incorrectly defined with wrong confirmation flow.,loginok the signal is incorrectly defined with wrong confirmation flow,reviewer,2026-06-11T21:22:11.207882
costed_ubr_split_soft_n10_014,UBR,10,reviewer_2_ubr,h:656eff2177cada00,M,3.2.1,p. 3,'Order': The signal definition is missing the dispatch time parameter.,order the signal definition is missing the dispatch time parameter,reviewer,2026-06-11T21:22:21.447918
costed_ubr_split_soft_n10_014,UBR,10,reviewer_2_ubr,h:6785beed8f65fb74,M,3.2.1,p. 3,'Order': The integer type for address is inconsistent with the requirement for a proper address format.,order the integer type for address is inconsistent with the requirement for a proper address format,reviewer,2026-06-11T21:22:21.447918
costed_ubr_split_soft_n10_014,UBR,10,reviewer_2_ubr,h:31b3844c05ae6de7,M,3.2.1,p. 3,'Reject_Order': The signal is missing from the MSC for order rejection.,reject order the signal is missing from the msc for order rejection,reviewer,2026-06-11T21:22:21.447918
costed_ubr_split_soft_n10_014,UBR,10,reviewer_2_ubr,h:aeccc7df0b6b960e,M,3.4.1,p. 5,'Confirm': The signal definition lacks a confirmation for order acceptance.,confirm the signal definition lacks a confirmation for order acceptance,reviewer,2026-06-11T21:22:21.447918
costed_ubr_split_soft_n10_014,UBR,10,reviewer_2_ubr,h:8c392c9be0699ec8,M,3.4.2,p. 6,'Order_Cancel': The signal is missing a clear definition in the context of order cancellation.,order cancel the signal is missing a clear definition in the context of order cancellation,reviewer,2026-06-11T21:22:21.447918
costed_ubr_split_soft_n10_014,UBR,10,reviewer_3_ubr,h:77239d364abb0209,M,3.2.2,p. 3,'Order': A signal is missing for confirming the order after it is sent to the central.,order a signal is missing for confirming the order after it is sent to the central,reviewer,2026-06-11T21:22:31.177112
costed_ubr_split_soft_n10_014,UBR,10,reviewer_3_ubr,h:729c69526c94da64,M,3.2.2,p. 3,'Reject_Order': A signal is missing for not confirming orders.,reject order a signal is missing for not confirming orders,reviewer,2026-06-11T21:22:31.177112
costed_ubr_split_soft_n10_014,UBR,10,reviewer_3_ubr,h:1cfcf6f6648f190a,M,3.2.2,p. 3,'LoginFailed': Missing signal for failed login attempts.,loginfailed missing signal for failed login attempts,reviewer,2026-06-11T21:22:31.177112
costed_ubr_split_soft_n10_014,UBR,10,reviewer_3_ubr,h:d9080371c17cd7e0,M,3.2.2,p. 3,'AlarmReset': Missing acknowledgment signal for alarm reset.,alarmreset missing acknowledgment signal for alarm reset,reviewer,2026-06-11T21:22:31.177112
costed_ubr_split_soft_n10_014,UBR,10,reviewer_3_ubr,h:c25c281d3ec779e7,M,3.2.2,p. 3,'Start_Voice': Missing acknowledgment signal for starting voice communication.,start voice missing acknowledgment signal for starting voice communication,reviewer,2026-06-11T21:22:31.177112
costed_ubr_split_soft_n10_014,UBR,10,reviewer_4_ubr,h:a94bb803d62a73dc,M,3.3.1,p. 5,'Allocate_car': A signal is missing for confirming car allocation.,allocate car a signal is missing for confirming car allocation,reviewer,2026-06-11T21:22:41.947908
costed_ubr_split_soft_n10_014,UBR,10,reviewer_4_ubr,h:61e59dfa8464e012,M,3.3.1,p. 5,'Get_Order': Missing acknowledgment signal for order retrieval.,get order missing acknowledgment signal for order retrieval,reviewer,2026-06-11T21:22:41.947908
costed_ubr_split_soft_n10_014,UBR,10,reviewer_4_ubr,h:f9c56333d85e0052,M,3.3.1,p. 5,'OrderOper': Missing confirmation for order submission from operator.,orderoper missing confirmation for order submission from operator,reviewer,2026-06-11T21:22:41.947908
costed_ubr_split_soft_n10_014,UBR,10,reviewer_4_ubr,h:4a94c83837bc0b0c,M,3.4.1,p. 6,'Confirm': Missing acknowledgment for order confirmation.,confirm missing acknowledgment for order confirmation,reviewer,2026-06-11T21:22:41.947908
costed_ubr_split_soft_n10_014,UBR,10,reviewer_4_ubr,h:0d0e166dcdbc01ef,M,3.4.1,p. 6,'AlarmReset': Missing confirmation for alarm reset signal.,alarmreset missing confirmation for alarm reset signal,reviewer,2026-06-11T21:22:41.947908
