run_id,technique,n_reviewers,k_star,threshold,tp,fp,fn,precision,recall,f1,recall_A,recall_B
costed_ubr_split_soft_n10_001,UBR,10,10,0.65,1,34,35,0.0286,0.0278,0.0282,0.0769,0.0000
costed_ubr_split_soft_n10_002,UBR,10,10,0.65,1,32,35,0.0303,0.0278,0.0290,0.0000,0.0000
costed_ubr_split_soft_n10_003,UBR,10,10,0.65,1,35,35,0.0278,0.0278,0.0278,0.0000,0.0000
costed_ubr_split_soft_n10_004,UBR,10,10,0.65,2,31,34,0.0606,0.0556,0.0580,0.0000,0.0000
costed_ubr_split_soft_n10_005,UBR,10,10,0.65,2,37,34,0.0513,0.0556,0.0533,0.0769,0.0000
costed_ubr_split_soft_n10_006,UBR,10,10,0.65,1,32,35,0.0303,0.0278,0.0290,0.0000,0.0000
costed_ubr_split_soft_n10_007,UBR,10,10,0.65,0,32,36,0.0000,0.0000,0.0000,0.0000,0.0000
costed_ubr_split_soft_n10_008,UBR,10,10,0.65,3,25,33,0.1071,0.0833,0.0938,0.0000,0.0769
costed_ubr_split_soft_n10_009,UBR,10,10,0.65,1,36,35,0.0270,0.0278,0.0274,0.0000,0.0000
costed_ubr_split_soft_n10_010,UBR,10,10,0.65,1,31,35,0.0312,0.0278,0.0294,0.0000,0.0000
costed_ubr_split_soft_n10_011,UBR,10,10,0.65,0,38,36,0.0000,0.0000,0.0000,0.0000,0.0000
costed_ubr_split_soft_n10_012,UBR,10,10,0.65,0,37,36,0.0000,0.0000,0.0000,0.0000,0.0000
costed_ubr_split_soft_n10_013,UBR,10,10,0.65,1,35,35,0.0278,0.0278,0.0278,0.0000,0.0000
costed_ubr_split_soft_n10_014,UBR,10,10,0.65,1,31,35,0.0312,0.0278,0.0294,0.0769,0.0000
costed_ubr_split_soft_n10_015,UBR,10,10,0.65,1,32,35,0.0303,0.0278,0.0290,0.0000,0.0000
costed_ubr_split_soft_n10_016,UBR,10,10,0.65,1,32,35,0.0303,0.0278,0.0290,0.0000,0.0000
costed_ubr_split_soft_n10_017,UBR,10,10,0.65,0,32,36,0.0000,0.0000,0.0000,0.0000,0.0000
costed_ubr_split_soft_n10_018,UBR,10,10,0.65,1,35,35,0.0278,0.0278,0.0278,0.0000,0.0000
costed_ubr_split_soft_n10_019,UBR,10,10,0.65,0,40,36,0.0000,0.0000,0.0000,0.0000,0.0000
costed_ubr_split_soft_n10_020,UBR,10,10,0.65,1,32,35,0.0303,0.0278,0.0290,0.0769,0.0000
costed_cbr_split_soft_n10_001,CBR,10,10,0.65,3,25,33,0.1071,0.0833,0.0938,0.0769,0.0769
costed_cbr_split_soft_n10_002,CBR,10,10,0.65,2,24,34,0.0769,0.0556,0.0645,0.0769,0.0000
costed_cbr_split_soft_n10_003,CBR,10,10,0.65,1,30,35,0.0323,0.0278,0.0299,0.0000,0.0000
costed_cbr_split_soft_n10_004,CBR,10,10,0.65,2,25,34,0.0741,0.0556,0.0635,0.0769,0.0000
costed_cbr_split_soft_n10_005,CBR,10,10,0.65,3,24,33,0.1111,0.0833,0.0952,0.0769,0.0000
costed_cbr_split_soft_n10_006,CBR,10,10,0.65,3,26,33,0.1034,0.0833,0.0923,0.0769,0.0769
costed_cbr_split_soft_n10_007,CBR,10,10,0.65,3,25,33,0.1071,0.0833,0.0938,0.0000,0.0769
costed_cbr_split_soft_n10_008,CBR,10,10,0.65,2,24,34,0.0769,0.0556,0.0645,0.0769,0.0000
costed_cbr_split_soft_n10_009,CBR,10,10,0.65,2,28,34,0.0667,0.0556,0.0606,0.0769,0.0000
costed_cbr_split_soft_n10_010,CBR,10,10,0.65,2,23,34,0.0800,0.0556,0.0656,0.0769,0.0000
costed_cbr_split_soft_n10_011,CBR,10,10,0.65,2,26,34,0.0714,0.0556,0.0625,0.0000,0.0769
costed_cbr_split_soft_n10_012,CBR,10,10,0.65,2,30,34,0.0625,0.0556,0.0588,0.0769,0.0000
costed_cbr_split_soft_n10_013,CBR,10,10,0.65,2,24,34,0.0769,0.0556,0.0645,0.0769,0.0769
costed_cbr_split_soft_n10_014,CBR,10,10,0.65,4,25,32,0.1379,0.1111,0.1231,0.0769,0.0769
costed_cbr_split_soft_n10_015,CBR,10,10,0.65,3,24,33,0.1111,0.0833,0.0952,0.0000,0.0769
costed_cbr_split_soft_n10_016,CBR,10,10,0.65,3,26,33,0.1034,0.0833,0.0923,0.0769,0.0769
costed_cbr_split_soft_n10_017,CBR,10,10,0.65,3,24,33,0.1111,0.0833,0.0952,0.0769,0.0000
costed_cbr_split_soft_n10_018,CBR,10,10,0.65,3,23,33,0.1154,0.0833,0.0968,0.0769,0.0000
costed_cbr_split_soft_n10_019,CBR,10,10,0.65,2,28,34,0.0667,0.0556,0.0606,0.0769,0.0000
costed_cbr_split_soft_n10_020,CBR,10,10,0.65,1,25,35,0.0385,0.0278,0.0323,0.0000,0.0000
