timestamp,run_id,technique,n_reviewers,scope_mode,config_path,run_path,metrics_path,status
,costed_ubr_split_soft_n10_001,UBR,10,split,configs/experiments/costed_split_soft_n10_ubr.yaml,runs/costed_ubr_split_soft_n10_001,,ok
,costed_ubr_split_soft_n10_002,UBR,10,split,configs/experiments/costed_split_soft_n10_ubr.yaml,runs/costed_ubr_split_soft_n10_002,,ok
,costed_ubr_split_soft_n10_003,UBR,10,split,configs/experiments/costed_split_soft_n10_ubr.yaml,runs/costed_ubr_split_soft_n10_003,,ok
,costed_ubr_split_soft_n10_004,UBR,10,split,configs/experiments/costed_split_soft_n10_ubr.yaml,runs/costed_ubr_split_soft_n10_004,,ok
,costed_ubr_split_soft_n10_005,UBR,10,split,configs/experiments/costed_split_soft_n10_ubr.yaml,runs/costed_ubr_split_soft_n10_005,,ok
,costed_ubr_split_soft_n10_006,UBR,10,split,configs/experiments/costed_split_soft_n10_ubr.yaml,runs/costed_ubr_split_soft_n10_006,,ok
,costed_ubr_split_soft_n10_007,UBR,10,split,configs/experiments/costed_split_soft_n10_ubr.yaml,runs/costed_ubr_split_soft_n10_007,,ok
,costed_ubr_split_soft_n10_008,UBR,10,split,configs/experiments/costed_split_soft_n10_ubr.yaml,runs/costed_ubr_split_soft_n10_008,,ok
,costed_ubr_split_soft_n10_009,UBR,10,split,configs/experiments/costed_split_soft_n10_ubr.yaml,runs/costed_ubr_split_soft_n10_009,,ok
,costed_ubr_split_soft_n10_010,UBR,10,split,configs/experiments/costed_split_soft_n10_ubr.yaml,runs/costed_ubr_split_soft_n10_010,,ok
,costed_ubr_split_soft_n10_011,UBR,10,split,configs/experiments/costed_split_soft_n10_ubr.yaml,runs/costed_ubr_split_soft_n10_011,,ok
,costed_ubr_split_soft_n10_012,UBR,10,split,configs/experiments/costed_split_soft_n10_ubr.yaml,runs/costed_ubr_split_soft_n10_012,,ok
,costed_ubr_split_soft_n10_013,UBR,10,split,configs/experiments/costed_split_soft_n10_ubr.yaml,runs/costed_ubr_split_soft_n10_013,,ok
,costed_ubr_split_soft_n10_014,UBR,10,split,configs/experiments/costed_split_soft_n10_ubr.yaml,runs/costed_ubr_split_soft_n10_014,,ok
,costed_ubr_split_soft_n10_015,UBR,10,split,configs/experiments/costed_split_soft_n10_ubr.yaml,runs/costed_ubr_split_soft_n10_015,,ok
,costed_ubr_split_soft_n10_016,UBR,10,split,configs/experiments/costed_split_soft_n10_ubr.yaml,runs/costed_ubr_split_soft_n10_016,,ok
,costed_ubr_split_soft_n10_017,UBR,10,split,configs/experiments/costed_split_soft_n10_ubr.yaml,runs/costed_ubr_split_soft_n10_017,,ok
,costed_ubr_split_soft_n10_018,UBR,10,split,configs/experiments/costed_split_soft_n10_ubr.yaml,runs/costed_ubr_split_soft_n10_018,,ok
,costed_ubr_split_soft_n10_019,UBR,10,split,configs/experiments/costed_split_soft_n10_ubr.yaml,runs/costed_ubr_split_soft_n10_019,,ok
,costed_ubr_split_soft_n10_020,UBR,10,split,configs/experiments/costed_split_soft_n10_ubr.yaml,runs/costed_ubr_split_soft_n10_020,,ok
,costed_cbr_split_soft_n10_001,CBR,10,split,configs/experiments/costed_split_soft_n10_cbr.yaml,runs/costed_cbr_split_soft_n10_001,,ok
,costed_cbr_split_soft_n10_002,CBR,10,split,configs/experiments/costed_split_soft_n10_cbr.yaml,runs/costed_cbr_split_soft_n10_002,,ok
