timestamp,run_id,technique,n_reviewers,scope_mode,config_path,run_path,metrics_path,status
,costed_pbr_split_soft_n10_001,PBR,10,split,configs/experiments/costed_pbr_split_soft_n10.yaml,runs/costed_pbr_split_soft_n10_001,,ok
,costed_pbr_split_soft_n10_002,PBR,10,split,configs/experiments/costed_pbr_split_soft_n10.yaml,runs/costed_pbr_split_soft_n10_002,,ok
,costed_pbr_split_soft_n10_003,PBR,10,split,configs/experiments/costed_pbr_split_soft_n10.yaml,runs/costed_pbr_split_soft_n10_003,,ok
,costed_pbr_split_soft_n10_004,PBR,10,split,configs/experiments/costed_pbr_split_soft_n10.yaml,runs/costed_pbr_split_soft_n10_004,,ok
,costed_pbr_split_soft_n10_005,PBR,10,split,configs/experiments/costed_pbr_split_soft_n10.yaml,runs/costed_pbr_split_soft_n10_005,,ok
,costed_pbr_split_soft_n10_006,PBR,10,split,configs/experiments/costed_pbr_split_soft_n10.yaml,runs/costed_pbr_split_soft_n10_006,,ok
,costed_pbr_split_soft_n10_007,PBR,10,split,configs/experiments/costed_pbr_split_soft_n10.yaml,runs/costed_pbr_split_soft_n10_007,,ok
,costed_pbr_split_soft_n10_008,PBR,10,split,configs/experiments/costed_pbr_split_soft_n10.yaml,runs/costed_pbr_split_soft_n10_008,,ok
,costed_pbr_split_soft_n10_009,PBR,10,split,configs/experiments/costed_pbr_split_soft_n10.yaml,runs/costed_pbr_split_soft_n10_009,,ok
,costed_pbr_split_soft_n10_010,PBR,10,split,configs/experiments/costed_pbr_split_soft_n10.yaml,runs/costed_pbr_split_soft_n10_010,,ok
,costed_pbr_split_soft_n10_011,PBR,10,split,configs/experiments/costed_pbr_split_soft_n10.yaml,runs/costed_pbr_split_soft_n10_011,,ok
,costed_pbr_split_soft_n10_012,PBR,10,split,configs/experiments/costed_pbr_split_soft_n10.yaml,runs/costed_pbr_split_soft_n10_012,,ok
,costed_pbr_split_soft_n10_013,PBR,10,split,configs/experiments/costed_pbr_split_soft_n10.yaml,runs/costed_pbr_split_soft_n10_013,,ok
,costed_pbr_split_soft_n10_014,PBR,10,split,configs/experiments/costed_pbr_split_soft_n10.yaml,runs/costed_pbr_split_soft_n10_014,,ok
,costed_pbr_split_soft_n10_015,PBR,10,split,configs/experiments/costed_pbr_split_soft_n10.yaml,runs/costed_pbr_split_soft_n10_015,,ok
,costed_pbr_split_soft_n10_016,PBR,10,split,configs/experiments/costed_pbr_split_soft_n10.yaml,runs/costed_pbr_split_soft_n10_016,,ok
,costed_pbr_split_soft_n10_017,PBR,10,split,configs/experiments/costed_pbr_split_soft_n10.yaml,runs/costed_pbr_split_soft_n10_017,,ok
,costed_pbr_split_soft_n10_018,PBR,10,split,configs/experiments/costed_pbr_split_soft_n10.yaml,runs/costed_pbr_split_soft_n10_018,,ok
,costed_pbr_split_soft_n10_019,PBR,10,split,configs/experiments/costed_pbr_split_soft_n10.yaml,runs/costed_pbr_split_soft_n10_019,,ok
,costed_pbr_split_soft_n10_020,PBR,10,split,configs/experiments/costed_pbr_split_soft_n10.yaml,runs/costed_pbr_split_soft_n10_020,,ok
